Список удостоверяющих центров, аккредитованных в Сети доверенных удостоверяющих центров Федеральной налоговой службы;;
"ЗАО ""Фирма Научно-технический центр КАМИ"" (Филиал в Ярославле)";150000, г. Ярославль, ул.Чайковского, 40а;http://www.nalog.kami.ru/
"ООО ""Формат Линк""";"426063, Удмуртская республика, г. Ижевск, ул. Карлутская набережная, 9";http://www.formatlink.ru/
"ООО Научно-Производственное Предприятие ""ИЖИНФОРМПРОЕКТ""";"426008, Удмуртская республика, г. Ижевск, ул. Бородина, 21, офис 204";http://www.infotrust.ru/
"ООО ""МО ПНИЭИ-КрасКрипт""";660077, г.Красноярск, ул. 78-й Добровольческой бригады, д. 2, оф. 242;http://kraskript.com/
"ООО ""Безопасные информационные технологии""";400005, Волгоград, пр. им. В.И.Ленина, 33а;http://ca.binteh.ru/doc.html
"НОУ ""УЦ ""Мезон"" ";160009, г. Вологда, ул.Чехова, д.26;http://crypto.meson.ru/
ЗАО «ЦЭК»;603015, Нижний Новгород, ул. Ошарская, д. 69, офис 313;http://www.nalog.cek.ru/
"ООО ""Бизнес-Защита""";630004, г. Новосибирск, проспект Димитрова, д.1;http://www.bpinform.ru/
"ООО ""Мостинфо-Екатеринбург"" ";620027, Свердловская область, Екатеринбург, ул. Мамина-Сибиряка, д.38, к.606;http://www.most-info.ru/
"ОАО ""Электронная Москва""";"119333, Москва, Ленинский проспект, д.55/1, стр. 2Дополнительная площадка -121248 , Москва, Кутузовский проспект, д.12";http://www.uc-em.ru/
"ООО ""НОТЕМА""";198188, Санкт-Петербург, ул. Зайцева, д.41, литер А;http://notemaspb.ru/
"ООО ""Эксперт-Центр""";163000, г. Архангельск, пр-т Обводной канал, д.119;http://www.expertc.ru/
"ФГУП ""ЦентрИнформ"" (филиал в Санкт-Петербурге)";191123, Санкт-Петербург, ул.Шпалерная, д.28;http://ca.center-inform.ru/
"ЗАО ""Удостоверяющий центр""(ekey.ru)";101990,Москва, Армянский переулок, д. 9/1/1, стр. 1;http://ekey.ru/
Администрация Президента и Правительства Республики Бурятия;670001, г. Улан-Удэ, ул. Ленина, д.54;http://egov-buryatia.ru/
"ООО ""Электронный экспресс""";119991, Москва, Ленинские горы, д.1, стр.77;http://www.garantexpress.ru/#menu3-19
"ООО ""Кордон"" ";344090, г.Ростов-на-Дону, ул.Мильчакова, 5/2;http://www.kordon-nalog.ru/
"Кировский филиал ФГУП ""ЦентрИнформ""";610000, г.Киров, ул.Ленина, д.85;http://ca.center-inform.ru/
"ООО ""Центр КриптоЗащиты""";400001 г.Волгоград, ул.Социалистическая, д.17, оф.309 ;http://www.cryptosec.ru/
"Новосибирский филиал ФГУП ""ЦентрИнформ"" ";630091 г. Новосибирск, ул.Фрунзе, д.5, оф.301;http://r54.center-inform.ru/nalog/
"ООО ""Удостоверяющий Центр ""ДиКей""";426063, Удмуртская республика, г. Ижевск, ул. Чугуевского, 9;http://www.distate.ru/ca/
"ООО ""КавказТехСервис""";355035 г.Ставрополь, ул.Дзержинского, 114;http://www.kts-stv.ru/
"ООО ""УЦ ГИС"" (ООО ""Удостоверяющий центр ГАЗИНФОРМСЕРВИС"")";198188 г.Санкт-Петербург, пр.Стачек, д.47;http://www.gaz-is.ru/
"ООО ""ЭСОТЕЛ-Рустелком""";677005, г.Якутск, ул. Стадухина, д. 63/1;http://www.esotel.ru/
"АНО информационного обеспечения ""Деловой вестник""";Белгород, Свято-Троицкий бульвар, д.15, оф.215;http://ca.nalogtelecom.ru/ui/
"ООО ""Пермская Интернет Компания""";614087, г. Пермь, ул.Академика Вавилова, 11;http://www.ascriptor.ru/ascriptor/
Рязанский филиал ФГУП «ЦентрИнформ» ;390000,  г. Рязань, ул.Садовая, д.24а;http://www.center-inform.ru/
Уфимский филиал ФГУП «ЦентрИнформ» ;450049, г. Уфа, ул. Новоженова, 88с.;http://www.center-inform.ru/
"ООО ""РСЦ Инфо - Бухгалтер""";360000, Кабардино-Балкарская республика, г. Нальчик, ул. Идарова, д.198;http://rsc-infobuh.ru/
"Восточно-Сибирский филиал ФГУП ""ЦентрИнформ""";660062, г.Красноярск, ул.Телевизорная, д.1, стр.9;http://www.center-inform.ru/
"ООО ""Инженерно-технический центр"" ";680000, г.Хабаровск, ул. Комсомольская, д. 43Б, оф. 6;http://ucdv.ru/
Ульяновский филиал ФГУП «ЦентрИнформ» ;432063, г.Ульяновск, ул. Советская, 5 офис 98;http://ca.report73.ru/
"ООО ""Компания ""Сервис ТВ-Инфо"" ";153003, г. Иваново, ул. Парижской Коммуны, д. 16;http://www.stv-it.ru/uc.php
"ООО ""УЦ ""БИТ"" ";644043, г.Омск, ул. П. Некрасова, д.3 ;http://www.skzi.ru/
ГБУ «ЦИТ ВО» (Государственное бюджетное учреждение «Центр информационных технологий Волгоградской области»)    ;400048, Волгоград, просп. им. Маршала Советского Союза Г.К. Жукова, д. 145;http://www.volganet.ru/irj/avo.html/gucitvo
"ООО ""КУБ"" (ООО ""Комплексные Услуги Безопасности"")";634021, г. Томск, проспект Фрунзе, 117А, оф. 501;http://ca.tomline.ru/
"ООО ""ЛИССИ"" (Общество с ограниченной ответственностью ""Лаборатория испытаний средств и систем информатизации"")";141090, г. Юбилейный Московской области, ул.Ленинская, д. 4;http://www.lissi.ru/
"ООО ""УИЦ С"" (Общество с ограниченной ответственностью ""Учебно-информационный центр С"")";410005, г.Саратов, ул. Б. Садовая, д.239, оф.303;http://www.gou-uic.ru/
"НАИЦП РС (Я) (Государственное учреждение Национальное агентство ""Информационный центр при Президенте Республики Саха (Якутия)"")";677022, Республика Саха (Якутия) г. Якутск, ул.Кирова, дом №11, кабинет №№326, 340а;http://www.yakutia-pki.ru/
"ЗАО РЦ ""Практик""";111401, Москва, ул. 2-я Владимирская, д. 26а;http://www.a-practic.ru/
"ООО ""Гвард-Информ""";300041, г. Тула, пр. Ленина, д.46;http://www.ginf.ru/
"Филиал ОАО ""ВолгаТелеком"" в Республике Мордовия";430000, Республика Мордовия, г.Саранск, ул.Коммунистическая, 34;http://www.rm.vt.ru/
"ООО ИЦ ""ВЫБОР""";214000, г. Смоленск, ул. Коммунистическая, д.6;http://icvibor.ru/
"ООО ""Сибтел-Крипто""";625007, г. Тюмень, ул. Широтная, д.29 корпус 2/2;http://www.s-crypto.ru/
"ЗАО ""Роста"" ";344010, г. Ростов-на-Дону, проспект Ворошиловский, 52, офис 67;http://www.rosta.rostov.ru/
ООО «КДС» ;302028, г. Орел, ул. Ленина, д.45;http://www.kds-trust.ru/
"ООО ""Ключ-Л""";"454091, г.Челябинск, ул.Пушкина, д.66-а, оф.4 (адрес расположения серверов УЦ:  г.Челябинск, ул.Российская, 260),";http://www.key74.ru/
